PropertyID,NetworkID,VerificationResult,InternalSolveStatus,ObjectiveValue,ObjectiveBound,InputValue,OutputValue,MainSolveTime,TotalTime
2,4_1,Timeout,UserLimit,-0.002740244372198268,53.24461876009543,NaN,NaN,300.0013790130615,312.48616982
2,4_2,Timeout,UserLimit,-0.0021620661127925555,66.43810520765022,NaN,NaN,300.02078199386597,313.339349422
2,4_3,SAT,UserObjLimit,0.014000867490762441,706.5312899728519,"[58353.8455, 0.0, 0.0, 1172.5, 30.0]","[20.255524431775576, -0.8988047299477602, 15.019901153674361, 0.6343939562528869, 14.954516259386754]",0.04610013961791992,11.065304946
2,4_4,Timeout,UserLimit,-0.00312341836590678,69.28737764665158,NaN,NaN,300.01034712791443,308.31870591
2,4_5,SAT,UserObjLimit,0.01769128174893853,1197.2222092188563,"[58353.8455, 0.0, 0.0, 1172.5, 30.0]","[23.314689739396954, 2.0198824396059587, 15.323399638887281, -0.25326696518753167, 16.699036344826293]",0.05770397186279297,14.342217752
2,4_6,SAT,UserObjLimit,0.00999260939666068,3422.2837473847867,"[58353.8455, 0.0, 0.0, 1172.5, 30.0]","[19.048117338635446, 0.0467723807534135, 15.311381854162937, 2.1619185925530218, 15.058069313003319]",0.07066512107849121,14.353323554
2,4_7,SAT,UserObjLimit,0.0033211372827649,3731.43468042283,"[58353.8455, 0.0, 0.0, 1172.5, 30.0]","[16.87221108820527, 0.391257337350142, 15.250556518994514, 0.6681171529426475, 15.630272067150283]",0.047206878662109375,11.477278651
2,4_8,SAT,UserObjLimit,0.015706483126552397,4153.54161105995,"[58353.8455, 0.0, 0.0, 1172.5, 30.0]","[21.152541620944866, -0.4575085955388163, 15.279103512289247, 2.174551206684936, 14.937942974162075]",0.0659480094909668,15.682991633
2,4_9,SAT,UserObjLimit,0.0001859995160913043,4103.234998303644,"[55947.691, 0.004657363143265919, -0.10803259035861158, 1145.0, 17.92238386728809]","[15.434776400428376, 0.6211709177639309, 15.052465226490147, 0.5596295803379316, 15.365221896265995]",32.69442296028137,50.524328033
2,5_1,SAT,UserObjLimit,0.002420608164831181,649.5493812158395,"[58353.8455, 0.0, 0.0, 1172.5, 30.0]","[17.954361421418437, 17.0491751927458, 1.1124834227237592, 16.151404537431596, 1.1088772186988898]",0.04490184783935547,13.1770984
2,5_2,SAT,UserObjLimit,0.0034988752749698336,307.85375367336917,"[58353.8455, 0.0, 0.0, 1172.5, 30.0]","[17.781639669463754, 16.473235540510245, 0.6226394595793039, 15.359356227410657, 0.2609496863986225]",0.05278515815734863,10.781914003
2,5_3,Timeout,UserLimit,-0.000965922820493112,57.7461050475195,NaN,NaN,300.0084798336029,315.118702777
2,5_4,SAT,UserObjLimit,0.0019349315133582942,498.38392866189037,"[58353.8455, 0.0, 0.0, 1172.5, 30.0]","[16.743563255540735, 16.0199957711788, -0.17632899435335148, 15.440769978045477, 1.096514297560339]",0.06312894821166992,10.566535344
